filename,ground_truth
quiet_01_hsr_layout,"Haan bhai, main HSR Layout mein rehta hoon."
quiet_02_whitefield,Office Whitefield side hai mera.
quiet_03_koramangala,Main Koramangala mein PG dekh raha hoon.
quiet_04-rajajinagar,Aare bhaiyya Rajajinagar ke paas utar dena mujhe.
quiet_05_hebbal,Yeh Hebbal se bus mil jaayegi na?
quiet_06_bellandur,Mujhe to Bellandur tak jaana hai waise.
bg_01_electronic_city,Roz Electronic City jaana padta hai yaar office ke liye mujhe.
bg_02_marathahalli,Marathahalli signal pe bahut traffic tha yaar.
bg_03_silk_board,Yaar yeh Silk Board pe phas gaya tha mai.
bg_04_yelahanka,Aare mera dost Yelahanka mein rehta hai.
bg_05_kr_puram_station,Aare bhaiyya abhi to mai KR Puram station ke paas hoon.
bg_06_peenya,Aare woh Peenya side factory area hai waha par.
call_01_btm_layout,"Hello haan bhai, main abhi yeh BTM Layout mein hoon."
call_02_sarjapur_road,Aare bhaiyya aap kidhar ho abhi?Abhi yeh Sarjapur road ke paas aa jao.
call_03_bommanahalli,Bro yeh Bommanahalli side room mil raha hai yaar.
call_04_yeshwanthpur,Aare meri yeh train jo hai na Yeshwanthpur se hai meri train.
whisper_01_thanisandra,"Haan bhai,main Thanisandra side hoon aur thodi dair mai ghar pahuch jaunga."
whisper_02_doddanekundi,Aare actually mera dost Doddanekundi mein rehta hai toh main uske ghar aaya hoon.
fast_01_banashankari,Bhaiyya yeh Banashankari ke paas utar do jaldi se.
fast_02_jayanagar,Haan main yeh Jayanagar se nikal raha hoon.
fast_03_majestic,Aare yaar woh Majestic mein na bahut traffic tha udhar.
fast_04_indiranagar,Aare bro yaar yeh Indiranagar se na meko na koi to bhi ek gift lena hai kisi ke liye.
